Ruta,Fecha,DiaSemana,Intervalo,Feriado,EventoEspecial,FlujoVehicular,Congestion
Av. alfredo benavides,2025-05-01,Jueves,03:00-04:00,si,ninguno,21,muy bajo
Av. alfredo benavides,2025-05-01,Jueves,04:00-05:00,si,ninguno,20,muy bajo
Av. alfredo benavides,2025-05-01,Jueves,05:00-06:00,si,ninguno,53,bajo
Av. alfredo benavides,2025-05-01,Jueves,06:00-07:00,si,ninguno,51,muy bajo
Av. alfredo benavides,2025-05-01,Jueves,07:00-08:00,si,ninguno,74,bajo
Av. alfredo benavides,2025-05-01,Jueves,08:00-09:00,si,ninguno,73,bajo
Av. alfredo benavides,2025-05-01,Jueves,09:00-10:00,si,ninguno,85,bajo
Av. alfredo benavides,2025-05-01,Jueves,10:00-11:00,si,ninguno,59,bajo
Av. alfredo benavides,2025-05-01,Jueves,11:00-12:00,si,ninguno,53,bajo
Av. alfredo benavides,2025-05-01,Jueves,12:00-13:00,si,ninguno,67,bajo
Av. alfredo benavides,2025-05-01,Jueves,13:00-14:00,si,ninguno,67,bajo
Av. alfredo benavides,2025-05-01,Jueves,14:00-15:00,si,ninguno,46,muy bajo
Av. alfredo benavides,2025-05-01,Jueves,15:00-16:00,si,ninguno,72,bajo
Av. alfredo benavides,2025-05-01,Jueves,16:00-17:00,si,ninguno,52,bajo
Av. alfredo benavides,2025-05-01,Jueves,17:00-18:00,si,ninguno,111,bajo
Av. alfredo benavides,2025-05-01,Jueves,18:00-19:00,si,ninguno,81,bajo
Av. alfredo benavides,2025-05-01,Jueves,19:00-20:00,si,ninguno,100,bajo
Av. alfredo benavides,2025-05-01,Jueves,20:00-21:00,si,ninguno,73,bajo
Av. alfredo benavides,2025-05-01,Jueves,21:00-22:00,si,ninguno,43,muy bajo
Av. alfredo benavides,2025-05-01,Jueves,22:00-23:00,si,ninguno,69,bajo
Av. alfredo benavides,2025-05-01,Jueves,23:00-00:00,si,ninguno,52,bajo
Av. universitaria,2025-05-01,Jueves,00:00-01:00,si,ninguno,8,muy bajo
Av. universitaria,2025-05-01,Jueves,01:00-02:00,si,ninguno,24,muy bajo
Av. universitaria,2025-05-01,Jueves,02:00-03:00,si,ninguno,25,muy bajo
Av. universitaria,2025-05-01,Jueves,03:00-04:00,si,ninguno,23,muy bajo
Av. universitaria,2025-05-01,Jueves,04:00-05:00,si,ninguno,25,muy bajo
Av. universitaria,2025-05-01,Jueves,05:00-06:00,si,ninguno,94,bajo
Av. universitaria,2025-05-01,Jueves,06:00-07:00,si,ninguno,55,bajo
Av. universitaria,2025-05-01,Jueves,07:00-08:00,si,ninguno,95,bajo
Av. universitaria,2025-05-01,Jueves,08:00-09:00,si,ninguno,48,muy bajo
Av. universitaria,2025-05-01,Jueves,09:00-10:00,si,ninguno,82,bajo
Av. universitaria,2025-05-01,Jueves,10:00-11:00,si,ninguno,86,bajo
Av. universitaria,2025-05-01,Jueves,11:00-12:00,si,ninguno,63,bajo
Av. universitaria,2025-05-01,Jueves,12:00-13:00,si,ninguno,79,bajo
Av. universitaria,2025-05-01,Jueves,13:00-14:00,si,ninguno,60,bajo
Av. universitaria,2025-05-01,Jueves,14:00-15:00,si,ninguno,53,bajo
Av. universitaria,2025-05-01,Jueves,15:00-16:00,si,ninguno,86,bajo
Av. universitaria,2025-05-01,Jueves,16:00-17:00,si,ninguno,73,bajo
Av. universitaria,2025-05-01,Jueves,17:00-18:00,si,ninguno,70,bajo
Av. universitaria,2025-05-01,Jueves,18:00-19:00,si,ninguno,91,bajo
Av. universitaria,2025-05-01,Jueves,19:00-20:00,si,ninguno,81,bajo
Av. universitaria,2025-05-01,Jueves,20:00-21:00,si,ninguno,91,bajo
Av. universitaria,2025-05-01,Jueves,21:00-22:00,si,ninguno,67,bajo
Av. universitaria,2025-05-01,Jueves,22:00-23:00,si,ninguno,39,muy bajo
Av. universitaria,2025-05-01,Jueves,23:00-00:00,si,ninguno,37,muy bajo
Av. la marina,2025-05-01,Jueves,00:00-01:00,si,ninguno,24,muy bajo
Av. la marina,2025-05-01,Jueves,01:00-02:00,si,ninguno,8,muy bajo
Av. la marina,2025-05-01,Jueves,02:00-03:00,si,ninguno,6,muy bajo
Av. la marina,2025-05-01,Jueves,03:00-04:00,si,ninguno,12,muy bajo
Av. la marina,2025-05-01,Jueves,04:00-05:00,si,ninguno,5,muy bajo
Av. la marina,2025-05-01,Jueves,05:00-06:00,si,ninguno,111,bajo
Av. la marina,2025-05-01,Jueves,06:00-07:00,si,ninguno,99,bajo
Av. la marina,2025-05-01,Jueves,07:00-08:00,si,ninguno,76,bajo
Av. la marina,2025-05-01,Jueves,08:00-09:00,si,ninguno,73,bajo
Av. la marina,2025-05-01,Jueves,09:00-10:00,si,ninguno,74,bajo
Av. la marina,2025-05-01,Jueves,10:00-11:00,si,ninguno,52,bajo
Av. la marina,2025-05-01,Jueves,11:00-12:00,si,ninguno,81,bajo
Av. la marina,2025-05-01,Jueves,12:00-13:00,si,ninguno,68,bajo
Av. la marina,2025-05-01,Jueves,13:00-14:00,si,ninguno,61,bajo
Av. la marina,2025-05-01,Jueves,14:00-15:00,si,ninguno,62,bajo
Av. la marina,2025-05-01,Jueves,15:00-16:00,si,ninguno,48,muy bajo
Av. la marina,2025-05-01,Jueves,16:00-17:00,si,ninguno,46,muy bajo
Av. la marina,2025-05-01,Jueves,17:00-18:00,si,ninguno,127,regular
Av. la marina,2025-05-01,Jueves,18:00-19:00,si,ninguno,78,bajo
Av. la marina,2025-05-01,Jueves,19:00-20:00,si,ninguno,79,bajo
Av. la marina,2025-05-01,Jueves,20:00-21:00,si,ninguno,95,bajo
Av. la marina,2025-05-01,Jueves,21:00-22:00,si,ninguno,49,muy bajo
Av. la marina,2025-05-01,Jueves,22:00-23:00,si,ninguno,64,bajo
Av. la marina,2025-05-01,Jueves,23:00-00:00,si,ninguno,54,bajo
Av. abancay,2025-05-01,Jueves,00:00-01:00,si,ninguno,21,muy bajo
Av. abancay,2025-05-01,Jueves,01:00-02:00,si,ninguno,22,muy bajo
Av. abancay,2025-05-01,Jueves,02:00-03:00,si,ninguno,6,muy bajo
Av. abancay,2025-05-01,Jueves,03:00-04:00,si,ninguno,20,muy bajo
Av. abancay,2025-05-01,Jueves,04:00-05:00,si,ninguno,12,muy bajo
Av. abancay,2025-05-01,Jueves,05:00-06:00,si,ninguno,68,bajo
Av. abancay,2025-05-01,Jueves,06:00-07:00,si,ninguno,107,bajo
Av. abancay,2025-05-01,Jueves,07:00-08:00,si,ninguno,100,bajo
Av. abancay,2025-05-01,Jueves,08:00-09:00,si,ninguno,45,muy bajo
Av. abancay,2025-05-01,Jueves,09:00-10:00,si,ninguno,56,bajo
Av. abancay,2025-05-01,Jueves,10:00-11:00,si,ninguno,55,bajo
Av. abancay,2025-05-01,Jueves,11:00-12:00,si,ninguno,63,bajo
Av. abancay,2025-05-01,Jueves,12:00-13:00,si,ninguno,82,bajo
Av. abancay,2025-05-01,Jueves,13:00-14:00,si,ninguno,71,bajo
Av. abancay,2025-05-01,Jueves,14:00-15:00,si,ninguno,68,bajo
Av. abancay,2025-05-01,Jueves,15:00-16:00,si,ninguno,51,bajo
Av. abancay,2025-05-01,Jueves,16:00-17:00,si,ninguno,53,bajo
Av. abancay,2025-05-01,Jueves,17:00-18:00,si,ninguno,66,bajo
Av. abancay,2025-05-01,Jueves,18:00-19:00,si,ninguno,102,bajo
Av. abancay,2025-05-01,Jueves,19:00-20:00,si,ninguno,65,bajo
Av. abancay,2025-05-01,Jueves,20:00-21:00,si,ninguno,141,regular
Av. abancay,2025-05-01,Jueves,21:00-22:00,si,ninguno,51,bajo
Av. abancay,2025-05-01,Jueves,22:00-23:00,si,ninguno,42,muy bajo
Av. abancay,2025-05-01,Jueves,23:00-00:00,si,ninguno,38,muy bajo
Av. mexico,2025-05-01,Jueves,00:00-01:00,si,ninguno,22,muy bajo
Av. mexico,2025-05-01,Jueves,01:00-02:00,si,ninguno,23,muy bajo
Av. mexico,2025-05-01,Jueves,02:00-03:00,si,ninguno,7,muy bajo
Av. mexico,2025-05-01,Jueves,03:00-04:00,si,ninguno,19,muy bajo
Av. mexico,2025-05-01,Jueves,04:00-05:00,si,ninguno,5,muy bajo
Av. mexico,2025-05-01,Jueves,05:00-06:00,si,ninguno,114,bajo
Av. mexico,2025-05-01,Jueves,06:00-07:00,si,ninguno,112,bajo
Av. mexico,2025-05-01,Jueves,07:00-08:00,si,ninguno,113,bajo
Av. mexico,2025-05-01,Jueves,08:00-09:00,si,ninguno,60,bajo
Av. mexico,2025-05-01,Jueves,09:00-10:00,si,ninguno,55,bajo
Av. mexico,2025-05-01,Jueves,10:00-11:00,si,ninguno,62,bajo
Av. mexico,2025-05-01,Jueves,11:00-12:00,si,ninguno,45,muy bajo
Av. mexico,2025-05-01,Jueves,12:00-13:00,si,ninguno,89,bajo
Av. mexico,2025-05-01,Jueves,13:00-14:00,si,ninguno,87,bajo
Av. mexico,2025-05-01,Jueves,14:00-15:00,si,ninguno,56,bajo
Av. mexico,2025-05-01,Jueves,15:00-16:00,si,ninguno,61,bajo
Av. mexico,2025-05-01,Jueves,16:00-17:00,si,ninguno,47,muy bajo
Av. mexico,2025-05-01,Jueves,17:00-18:00,si,ninguno,93,bajo
Av. mexico,2025-05-01,Jueves,18:00-19:00,si,ninguno,89,bajo
Av. mexico,2025-05-01,Jueves,19:00-20:00,si,ninguno,78,bajo
Av. mexico,2025-05-01,Jueves,20:00-21:00,si,ninguno,88,bajo
Av. mexico,2025-05-01,Jueves,21:00-22:00,si,ninguno,34,muy bajo
Av. mexico,2025-05-01,Jueves,22:00-23:00,si,ninguno,34,muy bajo
Av. mexico,2025-05-01,Jueves,23:00-00:00,si,ninguno,31,muy bajo
Av. argentina,2025-05-01,Jueves,00:00-01:00,si,ninguno,16,muy bajo
Av. argentina,2025-05-01,Jueves,01:00-02:00,si,ninguno,24,muy bajo
Av. argentina,2025-05-01,Jueves,02:00-03:00,si,ninguno,18,muy bajo
Av. argentina,2025-05-01,Jueves,03:00-04:00,si,ninguno,6,muy bajo
Av. argentina,2025-05-01,Jueves,04:00-05:00,si,ninguno,17,muy bajo
Av. argentina,2025-05-01,Jueves,05:00-06:00,si,ninguno,84,bajo
Av. argentina,2025-05-01,Jueves,06:00-07:00,si,ninguno,110,bajo
Av. argentina,2025-05-01,Jueves,07:00-08:00,si,ninguno,97,bajo
Av. argentina,2025-05-01,Jueves,08:00-09:00,si,ninguno,62,bajo
Av. argentina,2025-05-01,Jueves,09:00-10:00,si,ninguno,50,muy bajo
Av. argentina,2025-05-01,Jueves,10:00-11:00,si,ninguno,51,bajo
Av. argentina,2025-05-01,Jueves,11:00-12:00,si,ninguno,56,bajo
Av. argentina,2025-05-01,Jueves,12:00-13:00,si,ninguno,79,bajo
Av. argentina,2025-05-01,Jueves,13:00-14:00,si,ninguno,55,bajo
Av. argentina,2025-05-01,Jueves,14:00-15:00,si,ninguno,73,bajo
Av. argentina,2025-05-01,Jueves,15:00-16:00,si,ninguno,57,bajo
Av. argentina,2025-05-01,Jueves,16:00-17:00,si,ninguno,56,bajo
Av. argentina,2025-05-01,Jueves,17:00-18:00,si,ninguno,140,regular
Av. argentina,2025-05-01,Jueves,18:00-19:00,si,ninguno,137,regular
Av. argentina,2025-05-01,Jueves,19:00-20:00,si,ninguno,92,bajo
Av. argentina,2025-05-01,Jueves,20:00-21:00,si,ninguno,109,bajo
Av. argentina,2025-05-01,Jueves,21:00-22:00,si,ninguno,75,bajo
Av. argentina,2025-05-01,Jueves,22:00-23:00,si,ninguno,67,bajo
Av. argentina,2025-05-01,Jueves,23:00-00:00,si,ninguno,30,muy bajo
Av. venezuela,2025-05-01,Jueves,00:00-01:00,si,ninguno,23,muy bajo
Av. venezuela,2025-05-01,Jueves,01:00-02:00,si,ninguno,10,muy bajo
Av. venezuela,2025-05-01,Jueves,02:00-03:00,si,ninguno,21,muy bajo
Av. venezuela,2025-05-01,Jueves,03:00-04:00,si,ninguno,17,muy bajo
Av. venezuela,2025-05-01,Jueves,04:00-05:00,si,ninguno,25,muy bajo
Av. venezuela,2025-05-01,Jueves,05:00-06:00,si,ninguno,65,bajo
Av. venezuela,2025-05-01,Jueves,06:00-07:00,si,ninguno,116,bajo
Av. venezuela,2025-05-01,Jueves,07:00-08:00,si,ninguno,98,bajo
Av. venezuela,2025-05-01,Jueves,08:00-09:00,si,ninguno,87,bajo
Av. venezuela,2025-05-01,Jueves,09:00-10:00,si,ninguno,83,bajo
Av. venezuela,2025-05-01,Jueves,10:00-11:00,si,ninguno,50,muy bajo
Av. venezuela,2025-05-01,Jueves,11:00-12:00,si,ninguno,54,bajo
Av. venezuela,2025-05-01,Jueves,12:00-13:00,si,ninguno,87,bajo
Av. venezuela,2025-05-01,Jueves,13:00-14:00,si,ninguno,86,bajo
Av. venezuela,2025-05-01,Jueves,14:00-15:00,si,ninguno,74,bajo
Av. venezuela,2025-05-01,Jueves,15:00-16:00,si,ninguno,83,bajo
Av. venezuela,2025-05-01,Jueves,16:00-17:00,si,ninguno,86,bajo
Av. venezuela,2025-05-01,Jueves,17:00-18:00,si,ninguno,141,regular
Av. venezuela,2025-05-01,Jueves,18:00-19:00,si,ninguno,116,bajo
Av. venezuela,2025-05-01,Jueves,19:00-20:00,si,ninguno,74,bajo
Av. venezuela,2025-05-01,Jueves,20:00-21:00,si,ninguno,91,bajo
Av. venezuela,2025-05-01,Jueves,21:00-22:00,si,ninguno,57,bajo
Av. venezuela,2025-05-01,Jueves,22:00-23:00,si,ninguno,69,bajo
Av. venezuela,2025-05-01,Jueves,23:00-00:00,si,ninguno,59,bajo
Av. paseo de la república,2025-05-02,Viernes,00:00-01:00,si,ninguno,40,muy bajo
Av. paseo de la república,2025-05-02,Viernes,01:00-02:00,si,ninguno,34,muy bajo
Av. paseo de la república,2025-05-02,Viernes,02:00-03:00,si,ninguno,38,muy bajo
Av. paseo de la república,2025-05-02,Viernes,03:00-04:00,si,ninguno,32,muy bajo
Av. paseo de la república,2025-05-02,Viernes,04:00-05:00,si,ninguno,46,muy bajo
Av. paseo de la república,2025-05-02,Viernes,05:00-06:00,si,ninguno,250,alto
Av. paseo de la república,2025-05-02,Viernes,06:00-07:00,si,ninguno,181,alto
Av. paseo de la república,2025-05-02,Viernes,07:00-08:00,si,ninguno,178,regular
Av. paseo de la república,2025-05-02,Viernes,08:00-09:00,si,ninguno,150,regular
Av. paseo de la república,2025-05-02,Viernes,09:00-10:00,si,ninguno,148,regular
Av. paseo de la república,2025-05-02,Viernes,10:00-11:00,si,ninguno,126,regular
Av. paseo de la república,2025-05-02,Viernes,11:00-12:00,si,ninguno,114,bajo
Av. paseo de la república,2025-05-02,Viernes,12:00-13:00,si,ninguno,124,regular
Av. paseo de la república,2025-05-02,Viernes,13:00-14:00,si,ninguno,114,bajo
Av. paseo de la república,2025-05-02,Viernes,14:00-15:00,si,ninguno,157,regular
Av. paseo de la república,2025-05-02,Viernes,15:00-16:00,si,ninguno,139,regular
Av. paseo de la república,2025-05-02,Viernes,16:00-17:00,si,ninguno,102,bajo
Av. paseo de la república,2025-05-02,Viernes,17:00-18:00,si,ninguno,188,alto
Av. paseo de la república,2025-05-02,Viernes,18:00-19:00,si,ninguno,233,alto
Av. paseo de la república,2025-05-02,Viernes,19:00-20:00,si,ninguno,199,alto
Av. paseo de la república,2025-05-02,Viernes,20:00-21:00,si,ninguno,163,regular
Av. paseo de la república,2025-05-02,Viernes,21:00-22:00,si,ninguno,145,regular
Av. paseo de la república,2025-05-02,Viernes,22:00-23:00,si,ninguno,125,regular
Av. paseo de la república,2025-05-02,Viernes,23:00-00:00,si,ninguno,73,bajo
Av. alfredo benavides,2025-05-02,Viernes,00:00-01:00,si,ninguno,27,muy bajo
Av. alfredo benavides,2025-05-02,Viernes,01:00-02:00,si,ninguno,34,muy bajo
Av. alfredo benavides,2025-05-02,Viernes,02:00-03:00,si,ninguno,43,muy bajo
Av. alfredo benavides,2025-05-02,Viernes,03:00-04:00,si,ninguno,15,muy bajo
Av. alfredo benavides,2025-05-02,Viernes,04:00-05:00,si,ninguno,12,muy bajo
Av. alfredo benavides,2025-05-02,Viernes,05:00-06:00,si,ninguno,212,alto
Av. alfredo benavides,2025-05-02,Viernes,06:00-07:00,si,ninguno,113,bajo
Av. alfredo benavides,2025-05-02,Viernes,07:00-08:00,si,ninguno,110,bajo
Av. alfredo benavides,2025-05-02,Viernes,08:00-09:00,si,ninguno,140,regular
Av. alfredo benavides,2025-05-02,Viernes,09:00-10:00,si,ninguno,164,regular
Av. alfredo benavides,2025-05-02,Viernes,10:00-11:00,si,ninguno,94,bajo
Av. alfredo benavides,2025-05-02,Viernes,11:00-12:00,si,ninguno,93,bajo
Av. alfredo benavides,2025-05-02,Viernes,12:00-13:00,si,ninguno,104,bajo
Av. alfredo benavides,2025-05-02,Viernes,13:00-14:00,si,ninguno,121,regular
Av. alfredo benavides,2025-05-02,Viernes,14:00-15:00,si,ninguno,171,regular
Av. alfredo benavides,2025-05-02,Viernes,15:00-16:00,si,ninguno,132,regular
Av. alfredo benavides,2025-05-02,Viernes,16:00-17:00,si,ninguno,177,regular
Av. alfredo benavides,2025-05-02,Viernes,17:00-18:00,si,ninguno,246,alto
Av. alfredo benavides,2025-05-02,Viernes,18:00-19:00,si,ninguno,164,regular
Av. alfredo benavides,2025-05-02,Viernes,19:00-20:00,si,ninguno,219,alto
Av. alfredo benavides,2025-05-02,Viernes,20:00-21:00,si,ninguno,203,alto
Av. alfredo benavides,2025-05-02,Viernes,21:00-22:00,si,ninguno,113,bajo
Av. alfredo benavides,2025-05-02,Viernes,22:00-23:00,si,ninguno,146,regular
Av. alfredo benavides,2025-05-02,Viernes,23:00-00:00,si,ninguno,119,bajo
Av. universitaria,2025-05-02,Viernes,00:00-01:00,si,ninguno,20,muy bajo
Av. universitaria,2025-05-02,Viernes,01:00-02:00,si,ninguno,17,muy bajo
Av. universitaria,2025-05-02,Viernes,02:00-03:00,si,ninguno,11,muy bajo
Av. universitaria,2025-05-02,Viernes,03:00-04:00,si,ninguno,44,muy bajo
Av. universitaria,2025-05-02,Viernes,04:00-05:00,si,ninguno,47,muy bajo
Av. universitaria,2025-05-02,Viernes,05:00-06:00,si,ninguno,161,regular
Av. universitaria,2025-05-02,Viernes,06:00-07:00,si,ninguno,217,alto
Av. universitaria,2025-05-02,Viernes,07:00-08:00,si,ninguno,160,regular
Av. universitaria,2025-05-02,Viernes,08:00-09:00,si,ninguno,112,bajo
Av. universitaria,2025-05-02,Viernes,09:00-10:00,si,ninguno,140,regular
Av. universitaria,2025-05-02,Viernes,10:00-11:00,si,ninguno,100,bajo
Av. universitaria,2025-05-02,Viernes,11:00-12:00,si,ninguno,176,regular
Av. universitaria,2025-05-02,Viernes,12:00-13:00,si,ninguno,90,bajo
Av. universitaria,2025-05-02,Viernes,13:00-14:00,si,ninguno,155,regular
Av. universitaria,2025-05-02,Viernes,14:00-15:00,si,ninguno,162,regular
Av. universitaria,2025-05-02,Viernes,15:00-16:00,si,ninguno,179,regular
Av. universitaria,2025-05-02,Viernes,16:00-17:00,si,ninguno,95,bajo
Av. universitaria,2025-05-02,Viernes,17:00-18:00,si,ninguno,226,alto
Av. universitaria,2025-05-02,Viernes,18:00-19:00,si,ninguno,245,alto
Av. universitaria,2025-05-02,Viernes,19:00-20:00,si,ninguno,239,alto
Av. universitaria,2025-05-02,Viernes,20:00-21:00,si,ninguno,152,regular
Av. universitaria,2025-05-02,Viernes,21:00-22:00,si,ninguno,122,regular
Av. universitaria,2025-05-02,Viernes,22:00-23:00,si,ninguno,108,bajo
Av. universitaria,2025-05-02,Viernes,23:00-00:00,si,ninguno,88,bajo
Av. la marina,2025-05-02,Viernes,00:00-01:00,si,ninguno,35,muy bajo
Av. la marina,2025-05-02,Viernes,01:00-02:00,si,ninguno,46,muy bajo
Av. la marina,2025-05-02,Viernes,02:00-03:00,si,ninguno,24,muy bajo
Av. la marina,2025-05-02,Viernes,03:00-04:00,si,ninguno,19,muy bajo
Av. la marina,2025-05-02,Viernes,04:00-05:00,si,ninguno,13,muy bajo
Av. la marina,2025-05-02,Viernes,05:00-06:00,si,ninguno,246,alto
Av. la marina,2025-05-02,Viernes,06:00-07:00,si,ninguno,128,regular
Av. la marina,2025-05-02,Viernes,07:00-08:00,si,ninguno,229,alto
Av. la marina,2025-05-02,Viernes,08:00-09:00,si,ninguno,119,bajo
Av. la marina,2025-05-02,Viernes,09:00-10:00,si,ninguno,134,regular
Av. la marina,2025-05-02,Viernes,10:00-11:00,si,ninguno,93,bajo
Av. la marina,2025-05-02,Viernes,11:00-12:00,si,ninguno,106,bajo
Av. la marina,2025-05-02,Viernes,12:00-13:00,si,ninguno,104,bajo
Av. la marina,2025-05-02,Viernes,13:00-14:00,si,ninguno,154,regular
Av. la marina,2025-05-02,Viernes,14:00-15:00,si,ninguno,171,regular
Av. la marina,2025-05-02,Viernes,15:00-16:00,si,ninguno,164,regular
Av. la marina,2025-05-02,Viernes,16:00-17:00,si,ninguno,120,bajo
Av. la marina,2025-05-02,Viernes,17:00-18:00,si,ninguno,146,regular
Av. la marina,2025-05-02,Viernes,18:00-19:00,si,ninguno,190,alto
Av. la marina,2025-05-02,Viernes,19:00-20:00,si,ninguno,133,regular
Av. la marina,2025-05-02,Viernes,20:00-21:00,si,ninguno,194,alto
Av. la marina,2025-05-02,Viernes,21:00-22:00,si,ninguno,148,regular
Av. la marina,2025-05-02,Viernes,22:00-23:00,si,ninguno,64,bajo
Av. la marina,2025-05-02,Viernes,23:00-00:00,si,ninguno,93,bajo
Av. abancay,2025-05-02,Viernes,00:00-01:00,si,ninguno,33,muy bajo
Av. abancay,2025-05-02,Viernes,01:00-02:00,si,ninguno,32,muy bajo
Av. abancay,2025-05-02,Viernes,02:00-03:00,si,ninguno,32,muy bajo
Av. abancay,2025-05-02,Viernes,03:00-04:00,si,ninguno,42,muy bajo
Av. abancay,2025-05-02,Viernes,04:00-05:00,si,ninguno,28,muy bajo
Av. abancay,2025-05-02,Viernes,05:00-06:00,si,ninguno,152,regular
Av. abancay,2025-05-02,Viernes,06:00-07:00,si,ninguno,232,alto
Av. abancay,2025-05-02,Viernes,07:00-08:00,si,ninguno,126,regular
Av. abancay,2025-05-02,Viernes,08:00-09:00,si,ninguno,95,bajo
Av. abancay,2025-05-02,Viernes,09:00-10:00,si,ninguno,111,bajo
Av. abancay,2025-05-02,Viernes,10:00-11:00,si,ninguno,163,regular
Av. abancay,2025-05-02,Viernes,11:00-12:00,si,ninguno,128,regular
Av. abancay,2025-05-02,Viernes,12:00-13:00,si,ninguno,153,regular
Av. abancay,2025-05-02,Viernes,13:00-14:00,si,ninguno,104,bajo
Av. abancay,2025-05-02,Viernes,14:00-15:00,si,ninguno,144,regular
Av. abancay,2025-05-02,Viernes,15:00-16:00,si,ninguno,164,regular
Av. abancay,2025-05-02,Viernes,16:00-17:00,si,ninguno,101,bajo
Av. abancay,2025-05-02,Viernes,17:00-18:00,si,ninguno,187,alto
Av. abancay,2025-05-02,Viernes,18:00-19:00,si,ninguno,160,regular
Av. abancay,2025-05-02,Viernes,19:00-20:00,si,ninguno,244,alto
Av. abancay,2025-05-02,Viernes,20:00-21:00,si,ninguno,227,alto
Av. abancay,2025-05-02,Viernes,21:00-22:00,si,ninguno,102,bajo
Av. abancay,2025-05-02,Viernes,22:00-23:00,si,ninguno,99,bajo
Av. abancay,2025-05-02,Viernes,23:00-00:00,si,ninguno,106,bajo
Av. mexico,2025-05-02,Viernes,00:00-01:00,si,ninguno,20,muy bajo
Av. mexico,2025-05-02,Viernes,01:00-02:00,si,ninguno,37,muy bajo
Av. mexico,2025-05-02,Viernes,02:00-03:00,si,ninguno,47,muy bajo
Av. mexico,2025-05-02,Viernes,03:00-04:00,si,ninguno,50,muy bajo
Av. mexico,2025-05-02,Viernes,04:00-05:00,si,ninguno,48,muy bajo
Av. mexico,2025-05-02,Viernes,05:00-06:00,si,ninguno,129,regular
Av. mexico,2025-05-02,Viernes,06:00-07:00,si,ninguno,199,alto
Av. mexico,2025-05-02,Viernes,07:00-08:00,si,ninguno,176,regular
Av. mexico,2025-05-02,Viernes,08:00-09:00,si,ninguno,156,regular
Av. mexico,2025-05-02,Viernes,09:00-10:00,si,ninguno,141,regular
Av. mexico,2025-05-02,Viernes,10:00-11:00,si,ninguno,140,regular
Av. mexico,2025-05-02,Viernes,11:00-12:00,si,ninguno,157,regular
Av. mexico,2025-05-02,Viernes,12:00-13:00,si,ninguno,109,bajo
Av. mexico,2025-05-02,Viernes,13:00-14:00,si,ninguno,97,bajo
Av. mexico,2025-05-02,Viernes,14:00-15:00,si,ninguno,127,regular
Av. mexico,2025-05-02,Viernes,15:00-16:00,si,ninguno,157,regular
Av. mexico,2025-05-02,Viernes,16:00-17:00,si,ninguno,152,regular
Av. mexico,2025-05-02,Viernes,17:00-18:00,si,ninguno,287,alto
Av. mexico,2025-05-02,Viernes,18:00-19:00,si,ninguno,240,alto
Av. mexico,2025-05-02,Viernes,19:00-20:00,si,ninguno,191,alto
Av. mexico,2025-05-02,Viernes,20:00-21:00,si,ninguno,196,alto
Av. mexico,2025-05-02,Viernes,21:00-22:00,si,ninguno,119,bajo
