Zona,Fecha,DiaSemana,HoraInicio,HoraFin,Feriado,EventoEspecial,FlujoVehicular,Congestion
Av. Mexico,2025-05-01,Saturday,08:00,09:00,no,ninguno,170,regular
Av. Mexico,2025-05-01,Saturday,09:00,10:00,no,ninguno,117,bajo
Av. Mexico,2025-05-01,Saturday,10:00,11:00,no,ninguno,136,regular
Av. Mexico,2025-05-01,Saturday,11:00,12:00,no,ninguno,128,regular
Av. Mexico,2025-05-01,Saturday,12:00,13:00,no,ninguno,116,bajo
Av. Mexico,2025-05-01,Saturday,13:00,14:00,no,ninguno,110,bajo
Av. Mexico,2025-05-01,Saturday,14:00,15:00,no,ninguno,136,regular
Av. Mexico,2025-05-01,Saturday,15:00,16:00,no,ninguno,219,alto
Av. Mexico,2025-05-01,Saturday,16:00,17:00,no,ninguno,147,regular
Av. Mexico,2025-05-01,Saturday,17:00,18:00,no,ninguno,329,muy alto
Av. Mexico,2025-05-01,Saturday,18:00,19:00,no,ninguno,200,alto
Av. Mexico,2025-05-01,Saturday,19:00,20:00,no,ninguno,226,alto
Av. Mexico,2025-05-01,Saturday,20:00,21:00,no,ninguno,118,bajo
Av. Mexico,2025-05-01,Saturday,21:00,22:00,no,ninguno,108,bajo
Av. Mexico,2025-05-01,Saturday,22:00,23:00,no,ninguno,78,bajo
Av. Mexico,2025-05-01,Saturday,23:00,24:00,no,ninguno,90,bajo
Av. Argentina,2025-05-01,Saturday,00:00,01:00,no,ninguno,57,bajo
Av. Argentina,2025-05-01,Saturday,01:00,02:00,no,ninguno,52,bajo
Av. Argentina,2025-05-01,Saturday,02:00,03:00,no,ninguno,57,bajo
Av. Argentina,2025-05-01,Saturday,03:00,04:00,no,ninguno,30,muy bajo
Av. Argentina,2025-05-01,Saturday,04:00,05:00,no,ninguno,89,bajo
Av. Argentina,2025-05-01,Saturday,05:00,06:00,no,ninguno,233,alto
Av. Argentina,2025-05-01,Saturday,06:00,07:00,no,ninguno,266,muy alto
Av. Argentina,2025-05-01,Saturday,07:00,08:00,no,ninguno,272,muy alto
Av. Argentina,2025-05-01,Saturday,08:00,09:00,no,ninguno,142,regular
Av. Argentina,2025-05-01,Saturday,09:00,10:00,no,ninguno,187,alto
Av. Argentina,2025-05-01,Saturday,10:00,11:00,no,ninguno,125,regular
Av. Argentina,2025-05-01,Saturday,11:00,12:00,no,ninguno,81,bajo
Av. Argentina,2025-05-01,Saturday,12:00,13:00,no,ninguno,148,regular
Av. Argentina,2025-05-01,Saturday,13:00,14:00,no,ninguno,123,regular
Av. Argentina,2025-05-01,Saturday,14:00,15:00,no,ninguno,132,regular
Av. Argentina,2025-05-01,Saturday,15:00,16:00,no,ninguno,172,regular
Av. Argentina,2025-05-01,Saturday,16:00,17:00,no,ninguno,125,regular
Av. Argentina,2025-05-01,Saturday,17:00,18:00,no,ninguno,248,alto
Av. Argentina,2025-05-01,Saturday,18:00,19:00,no,ninguno,273,muy alto
Av. Argentina,2025-05-01,Saturday,19:00,20:00,no,ninguno,346,muy alto
Av. Argentina,2025-05-01,Saturday,20:00,21:00,no,ninguno,123,regular
Av. Argentina,2025-05-01,Saturday,21:00,22:00,no,ninguno,121,regular
Av. Argentina,2025-05-01,Saturday,22:00,23:00,no,ninguno,47,muy bajo
Av. Argentina,2025-05-01,Saturday,23:00,24:00,no,ninguno,77,bajo
Av. Venezuela,2025-05-01,Saturday,00:00,01:00,no,ninguno,22,muy bajo
Av. Venezuela,2025-05-01,Saturday,01:00,02:00,no,ninguno,59,bajo
Av. Venezuela,2025-05-01,Saturday,02:00,03:00,no,ninguno,31,muy bajo
Av. Venezuela,2025-05-01,Saturday,03:00,04:00,no,ninguno,80,bajo
Av. Venezuela,2025-05-01,Saturday,04:00,05:00,no,ninguno,44,muy bajo
Av. Venezuela,2025-05-01,Saturday,05:00,06:00,no,ninguno,284,muy alto
Av. Venezuela,2025-05-01,Saturday,06:00,07:00,no,ninguno,150,regular
Av. Venezuela,2025-05-01,Saturday,07:00,08:00,no,ninguno,288,muy alto
Av. Venezuela,2025-05-01,Saturday,08:00,09:00,no,ninguno,191,alto
Av. Venezuela,2025-05-01,Saturday,09:00,10:00,no,ninguno,139,regular
Av. Venezuela,2025-05-01,Saturday,10:00,11:00,no,ninguno,146,regular
Av. Venezuela,2025-05-01,Saturday,11:00,12:00,no,ninguno,87,bajo
Av. Venezuela,2025-05-01,Saturday,12:00,13:00,no,ninguno,102,bajo
Av. Venezuela,2025-05-01,Saturday,13:00,14:00,no,ninguno,113,bajo
Av. Venezuela,2025-05-01,Saturday,14:00,15:00,no,ninguno,147,regular
Av. Venezuela,2025-05-01,Saturday,15:00,16:00,no,ninguno,171,regular
Av. Venezuela,2025-05-01,Saturday,16:00,17:00,no,ninguno,134,regular
Av. Venezuela,2025-05-01,Saturday,17:00,18:00,no,ninguno,237,alto
Av. Venezuela,2025-05-01,Saturday,18:00,19:00,no,ninguno,243,alto
Av. Venezuela,2025-05-01,Saturday,19:00,20:00,no,ninguno,288,muy alto
Av. Venezuela,2025-05-01,Saturday,20:00,21:00,no,ninguno,147,regular
Av. Venezuela,2025-05-01,Saturday,21:00,22:00,no,ninguno,159,regular
Av. Venezuela,2025-05-01,Saturday,22:00,23:00,no,ninguno,62,bajo
Av. Venezuela,2025-05-01,Saturday,23:00,24:00,no,ninguno,46,muy bajo
Av. Paseo de la Republica,2025-05-02,Sunday,00:00,01:00,no,Partido de futbol,89,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,01:00,02:00,no,Partido de futbol,94,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,02:00,03:00,no,Partido de futbol,40,muy bajo
Av. Paseo de la Republica,2025-05-02,Sunday,03:00,04:00,no,Partido de futbol,82,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,04:00,05:00,no,Partido de futbol,53,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,05:00,06:00,no,Partido de futbol,154,regular
Av. Paseo de la Republica,2025-05-02,Sunday,06:00,07:00,no,Partido de futbol,268,muy alto
Av. Paseo de la Republica,2025-05-02,Sunday,07:00,08:00,no,Partido de futbol,290,muy alto
Av. Paseo de la Republica,2025-05-02,Sunday,08:00,09:00,no,Partido de futbol,106,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,09:00,10:00,no,Partido de futbol,174,regular
Av. Paseo de la Republica,2025-05-02,Sunday,10:00,11:00,no,Partido de futbol,144,regular
Av. Paseo de la Republica,2025-05-02,Sunday,11:00,12:00,no,Partido de futbol,100,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,12:00,13:00,no,Partido de futbol,134,regular
Av. Paseo de la Republica,2025-05-02,Sunday,13:00,14:00,no,Partido de futbol,95,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,14:00,15:00,no,Partido de futbol,96,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,15:00,16:00,no,Partido de futbol,242,alto
Av. Paseo de la Republica,2025-05-02,Sunday,16:00,17:00,no,Partido de futbol,128,regular
Av. Paseo de la Republica,2025-05-02,Sunday,17:00,18:00,no,Partido de futbol,349,muy alto
Av. Paseo de la Republica,2025-05-02,Sunday,18:00,19:00,no,Partido de futbol,259,muy alto
Av. Paseo de la Republica,2025-05-02,Sunday,19:00,20:00,no,Partido de futbol,344,muy alto
Av. Paseo de la Republica,2025-05-02,Sunday,20:00,21:00,no,Partido de futbol,102,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,21:00,22:00,no,Partido de futbol,123,regular
Av. Paseo de la Republica,2025-05-02,Sunday,22:00,23:00,no,Partido de futbol,72,bajo
Av. Paseo de la Republica,2025-05-02,Sunday,23:00,24:00,no,Partido de futbol,49,muy bajo
Av. Alfredo Benavides,2025-05-02,Sunday,00:00,01:00,no,Partido de futbol,35,muy bajo
Av. Alfredo Benavides,2025-05-02,Sunday,01:00,02:00,no,Partido de futbol,99,bajo
Av. Alfredo Benavides,2025-05-02,Sunday,02:00,03:00,no,Partido de futbol,29,muy bajo
Av. Alfredo Benavides,2025-05-02,Sunday,03:00,04:00,no,Partido de futbol,93,bajo
Av. Alfredo Benavides,2025-05-02,Sunday,04:00,05:00,no,Partido de futbol,51,bajo
Av. Alfredo Benavides,2025-05-02,Sunday,05:00,06:00,no,Partido de futbol,156,regular
Av. Alfredo Benavides,2025-05-02,Sunday,06:00,07:00,no,Partido de futbol,263,muy alto
Av. Alfredo Benavides,2025-05-02,Sunday,07:00,08:00,no,Partido de futbol,213,alto
Av. Alfredo Benavides,2025-05-02,Sunday,08:00,09:00,no,Partido de futbol,179,regular
Av. Alfredo Benavides,2025-05-02,Sunday,09:00,10:00,no,Partido de futbol,184,alto
Av. Alfredo Benavides,2025-05-02,Sunday,10:00,11:00,no,Partido de futbol,108,bajo
Av. Alfredo Benavides,2025-05-02,Sunday,11:00,12:00,no,Partido de futbol,142,regular
Av. Alfredo Benavides,2025-05-02,Sunday,12:00,13:00,no,Partido de futbol,125,regular
Av. Alfredo Benavides,2025-05-02,Sunday,13:00,14:00,no,Partido de futbol,105,bajo
Av. Alfredo Benavides,2025-05-02,Sunday,14:00,15:00,no,Partido de futbol,144,regular
Av. Alfredo Benavides,2025-05-02,Sunday,15:00,16:00,no,Partido de futbol,178,regular
Av. Alfredo Benavides,2025-05-02,Sunday,16:00,17:00,no,Partido de futbol,120,regular
Av. Alfredo Benavides,2025-05-02,Sunday,17:00,18:00,no,Partido de futbol,218,alto
Av. Alfredo Benavides,2025-05-02,Sunday,18:00,19:00,no,Partido de futbol,251,muy alto
Av. Alfredo Benavides,2025-05-02,Sunday,19:00,20:00,no,Partido de futbol,307,muy alto
Av. Alfredo Benavides,2025-05-02,Sunday,20:00,21:00,no,Partido de futbol,138,regular
Av. Alfredo Benavides,2025-05-02,Sunday,21:00,22:00,no,Partido de futbol,114,bajo
Av. Alfredo Benavides,2025-05-02,Sunday,22:00,23:00,no,Partido de futbol,66,bajo
Av. Alfredo Benavides,2025-05-02,Sunday,23:00,24:00,no,Partido de futbol,42,muy bajo
Av. Universitaria,2025-05-02,Sunday,00:00,01:00,no,Partido de futbol,70,bajo
Av. Universitaria,2025-05-02,Sunday,01:00,02:00,no,Partido de futbol,64,bajo
Av. Universitaria,2025-05-02,Sunday,02:00,03:00,no,Partido de futbol,22,muy bajo
Av. Universitaria,2025-05-02,Sunday,03:00,04:00,no,Partido de futbol,25,muy bajo
Av. Universitaria,2025-05-02,Sunday,04:00,05:00,no,Partido de futbol,76,bajo
Av. Universitaria,2025-05-02,Sunday,05:00,06:00,no,Partido de futbol,248,alto
Av. Universitaria,2025-05-02,Sunday,06:00,07:00,no,Partido de futbol,264,muy alto
Av. Universitaria,2025-05-02,Sunday,07:00,08:00,no,Partido de futbol,163,regular
Av. Universitaria,2025-05-02,Sunday,08:00,09:00,no,Partido de futbol,133,regular
Av. Universitaria,2025-05-02,Sunday,09:00,10:00,no,Partido de futbol,181,alto
Av. Universitaria,2025-05-02,Sunday,10:00,11:00,no,Partido de futbol,138,regular
Av. Universitaria,2025-05-02,Sunday,11:00,12:00,no,Partido de futbol,96,bajo
Av. Universitaria,2025-05-02,Sunday,12:00,13:00,no,Partido de futbol,126,regular
Av. Universitaria,2025-05-02,Sunday,13:00,14:00,no,Partido de futbol,106,bajo
Av. Universitaria,2025-05-02,Sunday,14:00,15:00,no,Partido de futbol,137,regular
Av. Universitaria,2025-05-02,Sunday,15:00,16:00,no,Partido de futbol,135,regular
Av. Universitaria,2025-05-02,Sunday,16:00,17:00,no,Partido de futbol,135,regular
Av. Universitaria,2025-05-02,Sunday,17:00,18:00,no,Partido de futbol,292,muy alto
Av. Universitaria,2025-05-02,Sunday,18:00,19:00,no,Partido de futbol,265,muy alto
Av. Universitaria,2025-05-02,Sunday,19:00,20:00,no,Partido de futbol,295,muy alto
Av. Universitaria,2025-05-02,Sunday,20:00,21:00,no,Partido de futbol,170,regular
Av. Universitaria,2025-05-02,Sunday,21:00,22:00,no,Partido de futbol,137,regular
Av. Universitaria,2025-05-02,Sunday,22:00,23:00,no,Partido de futbol,60,bajo
Av. Universitaria,2025-05-02,Sunday,23:00,24:00,no,Partido de futbol,99,bajo
Av. de la Marina,2025-05-02,Sunday,00:00,01:00,no,Partido de futbol,83,bajo
Av. de la Marina,2025-05-02,Sunday,01:00,02:00,no,Partido de futbol,55,bajo
Av. de la Marina,2025-05-02,Sunday,02:00,03:00,no,Partido de futbol,37,muy bajo
Av. de la Marina,2025-05-02,Sunday,03:00,04:00,no,Partido de futbol,35,muy bajo
Av. de la Marina,2025-05-02,Sunday,04:00,05:00,no,Partido de futbol,73,bajo
Av. de la Marina,2025-05-02,Sunday,05:00,06:00,no,Partido de futbol,242,alto
Av. de la Marina,2025-05-02,Sunday,06:00,07:00,no,Partido de futbol,283,muy alto
Av. de la Marina,2025-05-02,Sunday,07:00,08:00,no,Partido de futbol,249,alto
Av. de la Marina,2025-05-02,Sunday,08:00,09:00,no,Partido de futbol,152,regular
Av. de la Marina,2025-05-02,Sunday,09:00,10:00,no,Partido de futbol,175,regular
Av. de la Marina,2025-05-02,Sunday,10:00,11:00,no,Partido de futbol,130,regular
Av. de la Marina,2025-05-02,Sunday,11:00,12:00,no,Partido de futbol,93,bajo
Av. de la Marina,2025-05-02,Sunday,12:00,13:00,no,Partido de futbol,122,regular
Av. de la Marina,2025-05-02,Sunday,13:00,14:00,no,Partido de futbol,138,regular
Av. de la Marina,2025-05-02,Sunday,14:00,15:00,no,Partido de futbol,90,bajo
Av. de la Marina,2025-05-02,Sunday,15:00,16:00,no,Partido de futbol,215,alto
Av. de la Marina,2025-05-02,Sunday,16:00,17:00,no,Partido de futbol,196,alto
Av. de la Marina,2025-05-02,Sunday,17:00,18:00,no,Partido de futbol,330,muy alto
Av. de la Marina,2025-05-02,Sunday,18:00,19:00,no,Partido de futbol,301,muy alto
Av. de la Marina,2025-05-02,Sunday,19:00,20:00,no,Partido de futbol,317,muy alto
Av. de la Marina,2025-05-02,Sunday,20:00,21:00,no,Partido de futbol,122,regular
Av. de la Marina,2025-05-02,Sunday,21:00,22:00,no,Partido de futbol,160,regular
Av. de la Marina,2025-05-02,Sunday,22:00,23:00,no,Partido de futbol,84,bajo
Av. de la Marina,2025-05-02,Sunday,23:00,24:00,no,Partido de futbol,69,bajo
Av. Abancay,2025-05-02,Sunday,00:00,01:00,no,Partido de futbol,72,bajo
Av. Abancay,2025-05-02,Sunday,01:00,02:00,no,Partido de futbol,49,muy bajo
Av. Abancay,2025-05-02,Sunday,02:00,03:00,no,Partido de futbol,48,muy bajo
Av. Abancay,2025-05-02,Sunday,03:00,04:00,no,Partido de futbol,87,bajo
Av. Abancay,2025-05-02,Sunday,04:00,05:00,no,Partido de futbol,51,bajo
Av. Abancay,2025-05-02,Sunday,05:00,06:00,no,Partido de futbol,167,regular
Av. Abancay,2025-05-02,Sunday,06:00,07:00,no,Partido de futbol,189,alto
Av. Abancay,2025-05-02,Sunday,07:00,08:00,no,Partido de futbol,212,alto
Av. Abancay,2025-05-02,Sunday,08:00,09:00,no,Partido de futbol,163,regular
Av. Abancay,2025-05-02,Sunday,09:00,10:00,no,Partido de futbol,149,regular
Av. Abancay,2025-05-02,Sunday,10:00,11:00,no,Partido de futbol,92,bajo
Av. Abancay,2025-05-02,Sunday,11:00,12:00,no,Partido de futbol,130,regular
Av. Abancay,2025-05-02,Sunday,12:00,13:00,no,Partido de futbol,105,bajo
Av. Abancay,2025-05-02,Sunday,13:00,14:00,no,Partido de futbol,98,bajo
Av. Abancay,2025-05-02,Sunday,14:00,15:00,no,Partido de futbol,148,regular
Av. Abancay,2025-05-02,Sunday,15:00,16:00,no,Partido de futbol,143,regular
Av. Abancay,2025-05-02,Sunday,16:00,17:00,no,Partido de futbol,194,alto
Av. Abancay,2025-05-02,Sunday,17:00,18:00,no,Partido de futbol,224,alto
Av. Abancay,2025-05-02,Sunday,18:00,19:00,no,Partido de futbol,260,muy alto
Av. Abancay,2025-05-02,Sunday,19:00,20:00,no,Partido de futbol,223,alto
Av. Abancay,2025-05-02,Sunday,20:00,21:00,no,Partido de futbol,124,regular
Av. Abancay,2025-05-02,Sunday,21:00,22:00,no,Partido de futbol,118,bajo
Av. Abancay,2025-05-02,Sunday,22:00,23:00,no,Partido de futbol,53,bajo
Av. Abancay,2025-05-02,Sunday,23:00,24:00,no,Partido de futbol,95,bajo
Av. Mexico,2025-05-02,Sunday,00:00,01:00,no,Partido de futbol,48,muy bajo
Av. Mexico,2025-05-02,Sunday,01:00,02:00,no,Partido de futbol,42,muy bajo
Av. Mexico,2025-05-02,Sunday,02:00,03:00,no,Partido de futbol,30,muy bajo
